iter	Logloss
0	0.6763563501
1	0.6613164971
2	0.6481009886
3	0.6347875669
4	0.6233434661
5	0.6091982608
6	0.5990063374
7	0.5899579236
8	0.5792145633
9	0.5706777403
10	0.5602974833
11	0.551867355
12	0.5440101539
13	0.5370534888
14	0.5290059183
15	0.5221467219
16	0.5163825106
17	0.5106111152
18	0.5053034645
19	0.5007589343
20	0.4963066586
21	0.4911948208
22	0.4870448802
23	0.4831646131
24	0.4786623962
25	0.4754969742
26	0.471663217
27	0.4683916123
28	0.4654377822
29	0.4623704103
30	0.4589482081
31	0.4554718678
32	0.4534225192
33	0.4512072068
34	0.4487344162
35	0.4467813629
36	0.4448726074
37	0.442512048
38	0.4401461471
39	0.4384522989
40	0.4367530219
41	0.4349296423
42	0.4331755161
43	0.4315699391
44	0.4298430657
45	0.42773428
46	0.4260530496
47	0.4246308574
48	0.4233755676
49	0.4221341419
50	0.420615725
51	0.4191356627
52	0.4181206372
53	0.4170119073
54	0.4157302368
55	0.4146886893
56	0.4137305635
57	0.4125265853
58	0.4115867451
59	0.4104963085
60	0.4096815813
61	0.4084944658
62	0.4074742677
63	0.4064748641
64	0.4057709837
65	0.4051682471
66	0.4046423432
67	0.4041063771
68	0.403363358
69	0.4028015251
70	0.4021090373
71	0.4012768129
72	0.4007437938
73	0.40025062
74	0.3996452943
75	0.3990186514
76	0.3984682609
77	0.3980524645
78	0.3974691303
79	0.3968649052
80	0.3962571103
81	0.3957826356
82	0.3954481357
83	0.3949879639
84	0.3944789601
85	0.39416444
86	0.3935920765
87	0.3928987645
88	0.3926763303
89	0.3920225319
90	0.3917014211
91	0.3912571142
92	0.390979494
93	0.3906703095
94	0.3902075219
95	0.3897474944
96	0.3894683282
97	0.3889767708
98	0.3884915676
99	0.3880414601
100	0.3876787951
101	0.3873974566
102	0.3869318934
103	0.3866360325
104	0.3863518943
105	0.3859668639
106	0.3855970309
107	0.3853096313
108	0.3849507122
109	0.3847044809
110	0.3843153261
111	0.3839575817
112	0.3836079063
113	0.38339614
114	0.3831602312
115	0.3828106032
116	0.3826562817
117	0.3823576034
118	0.38198009
119	0.3817028105
120	0.3814047626
121	0.3811820299
122	0.3809478864
123	0.3807202695
124	0.3803207191
125	0.38004472
126	0.3796842638
127	0.3795008151
128	0.379285404
129	0.3790022564
130	0.3787787594
131	0.3785926967
132	0.3782625105
133	0.3780933985
134	0.3778348141
135	0.377665097
136	0.3774532616
137	0.3773329876
138	0.3769852582
139	0.3768180263
140	0.3765317307
141	0.3763444391
142	0.376088231
143	0.3759256346
144	0.3757135625
145	0.3755568268
146	0.3753703588
147	0.3752375724
148	0.3750826818
149	0.3747412846
150	0.3744979871
151	0.3741374687
152	0.373946568
153	0.3736414436
154	0.3735222818
155	0.3734166953
156	0.3732244027
157	0.3730395996
158	0.3727803273
159	0.3726143892
160	0.3723269727
161	0.3722078089
162	0.372041152
163	0.3717767841
164	0.3716024852
165	0.3714317328
166	0.3712158425
167	0.3710936274
168	0.3708030938
169	0.370532014
170	0.3702502967
171	0.3700516441
172	0.3699202645
173	0.3696490135
174	0.3694070915
175	0.3690249068
176	0.3689083647
177	0.36873451
178	0.3686077291
179	0.3683533873
180	0.3681881298
181	0.368044565
182	0.3677130547
183	0.3674428607
184	0.3673134564
185	0.3672346741
186	0.3669939474
187	0.366786454
188	0.366651011
189	0.3665144339
190	0.3663666672
191	0.3662184923
192	0.3659752752
193	0.3658702404
194	0.3657294537
195	0.3655691237
196	0.3654216224
197	0.3652046062
198	0.3650602947
199	0.3649243915
200	0.3647330352
201	0.3644176551
202	0.3643067051
203	0.3641658196
204	0.3639902053
205	0.3637329854
206	0.3636171215
207	0.3634937339
208	0.363399717
209	0.3633884155
210	0.3632165857
211	0.3631069707
212	0.3629948197
213	0.3627969979
214	0.3627310634
215	0.362550063
216	0.3623908278
217	0.3622249673
218	0.3621026252
219	0.3619514862
220	0.3616846643
221	0.3614330308
222	0.3612316856
223	0.3611680864
224	0.361012404
225	0.360920012
226	0.3607236449
227	0.3604396259
228	0.3603080387
229	0.3601035524
230	0.359996868
231	0.3598446978
232	0.3596745153
233	0.3595721692
234	0.35937015
235	0.3592332465
236	0.3590120957
237	0.3589476685
238	0.3587352847
239	0.3585374084
240	0.3583309358
241	0.3582165776
242	0.3581049423
243	0.357991315
244	0.3579228412
245	0.3577149729
246	0.3575977646
247	0.3575014468
248	0.3573922971
249	0.3572413406
250	0.3571257169
251	0.3570364231
252	0.3569336389
253	0.3567283506
254	0.3566309549
255	0.3564368806
256	0.3563832308
257	0.3563199011
258	0.3563019853
