iter	Passed	Remaining
414	2671	3765
415	2677	3758
416	2682	3750
417	2688	3743
418	2694	3735
419	2699	3728
420	2705	3721
421	2711	3713
422	2717	3706
423	2722	3698
424	2728	3691
425	2734	3684
426	2739	3676
427	2745	3669
428	2751	3661
429	2756	3654
430	2762	3647
431	2768	3639
432	2773	3632
433	2779	3624
434	2785	3617
435	2791	3610
436	2796	3603
437	2802	3596
438	2808	3588
439	2814	3581
440	2819	3574
441	2825	3567
442	2831	3559
443	2837	3552
444	2842	3545
445	2848	3538
446	2854	3531
447	2860	3523
448	2866	3517
449	2871	3510
450	2877	3502
451	2883	3496
452	2889	3488
453	2894	3481
454	2900	3474
455	2906	3467
456	2912	3460
457	2917	3452
458	2923	3445
459	2929	3438
460	2934	3431
461	2940	3423
462	2945	3416
463	2950	3408
464	2956	3401
465	2961	3393
466	2966	3386
467	2972	3378
468	2977	3371
469	2982	3363
470	2988	3356
471	2994	3349
472	2999	3342
473	3005	3335
474	3010	3327
475	3016	3320
476	3021	3313
477	3027	3306
478	3032	3298
479	3038	3291
480	3044	3284
481	3049	3277
482	3055	3270
483	3060	3263
484	3066	3256
485	3072	3249
486	3077	3241
487	3083	3234
488	3088	3227
489	3094	3221
490	3100	3213
491	3105	3206
492	3111	3199
493	3117	3192
494	3123	3186
495	3128	3179
496	3134	3172
497	3140	3165
498	3145	3158
499	3151	3151
500	3157	3144
501	3162	3137
502	3168	3130
503	3173	3123
504	3179	3116
505	3185	3109
506	3191	3103
507	3198	3097
508	3203	3090
509	3209	3083
510	3215	3076
511	3220	3069
512	3226	3063
513	3232	3056
514	3238	3049
515	3244	3042
516	3249	3035
517	3255	3029
518	3261	3022
519	3266	3015
520	3272	3008
521	3278	3001
522	3283	2994
523	3289	2988
524	3295	2981
525	3300	2974
526	3306	2967
527	3312	2961
528	3318	2954
529	3324	2947
530	3329	2940
531	3335	2934
532	3340	2927
533	3346	2920
534	3352	2913
535	3357	2906
536	3363	2899
537	3369	2893
538	3374	2886
539	3380	2879
540	3386	2873
541	3391	2866
542	3397	2859
543	3403	2852
544	3408	2845
545	3414	2839
546	3420	2832
547	3425	2825
548	3431	2818
549	3436	2811
550	3442	2805
551	3447	2798
552	3453	2791
553	3459	2784
554	3464	2778
555	3470	2771
556	3476	2764
557	3482	2758
558	3487	2751
559	3493	2745
560	3499	2738
561	3505	2731
562	3510	2725
563	3516	2718
564	3522	2711
565	3527	2705
566	3533	2698
567	3539	2691
568	3544	2685
569	3550	2678
570	3556	2671
571	3561	2665
572	3567	2658
573	3573	2652
574	3579	2645
575	3584	2638
576	3590	2632
577	3596	2625
578	3601	2618
579	3607	2612
580	3613	2605
581	3619	2599
582	3624	2592
583	3630	2586
584	3636	2579
585	3641	2572
586	3647	2566
587	3653	2559
588	3658	2553
589	3664	2546
590	3669	2539
591	3675	2533
592	3681	2526
593	3686	2519
594	3692	2513
595	3697	2506
596	3703	2499
597	3709	2493
598	3714	2486
599	3720	2480
600	3725	2473
601	3731	2467
602	3737	2460
603	3742	2453
604	3748	2447
605	3754	2440
606	3760	2434
607	3765	2427
608	3771	2421
609	3776	2414
610	3782	2408
611	3788	2401
612	3793	2395
613	3799	2388
614	3805	2382
615	3810	2375
616	3816	2369
617	3822	2362
618	3827	2356
619	3833	2349
620	3839	2342
621	3844	2336
622	3850	2329
623	3855	2323
624	3861	2316
625	3867	2310
626	3872	2304
627	3878	2297
628	3884	2291
629	3890	2284
630	3895	2278
631	3901	2271
632	3906	2265
633	3912	2258
634	3917	2251
635	3923	2245
636	3928	2238
637	3934	2232
638	3939	2225
639	3945	2219
640	3950	2212
641	3956	2206
642	3961	2199
643	3967	2193
644	3972	2186
645	3978	2180
646	3984	2173
647	3989	2167
648	3995	2161
649	4001	2154
650	4006	2148
651	4012	2141
652	4018	2135
653	4024	2129
654	4029	2122
655	4035	2116
656	4041	2109
657	4046	2103
658	4052	2096
659	4057	2090
660	4063	2084
661	4069	2077
662	4074	2071
663	4080	2064
664	4086	2058
665	4091	2052
666	4097	2045
667	4102	2039
668	4108	2032
669	4113	2026
670	4119	2019
671	4124	2013
672	4130	2006
673	4136	2000
674	4141	1994
675	4147	1987
676	4152	1981
677	4158	1974
678	4163	1968
679	4169	1961
680	4175	1955
681	4180	1949
682	4186	1942
683	4191	1936
684	4197	1930
685	4202	1923
686	4210	1918
687	4216	1912
688	4222	1905
689	4228	1899
690	4233	1893
691	4239	1887
692	4245	1880
693	4250	1874
694	4256	1867
695	4262	1861
696	4268	1855
697	4273	1849
698	4279	1842
699	4285	1836
700	4291	1830
701	4297	1824
702	4302	1817
703	4308	1811
704	4314	1805
705	4319	1798
706	4325	1792
707	4331	1786
708	4336	1779
709	4342	1773
710	4347	1767
711	4353	1760
712	4359	1754
713	4364	1748
714	4370	1742
715	4376	1735
716	4381	1729
717	4387	1723
718	4392	1716
719	4398	1710
720	4404	1704
721	4410	1698
722	4415	1691
723	4421	1685
724	4426	1679
725	4432	1672
726	4437	1666
727	4443	1660
728	4449	1653
729	4454	1647
730	4460	1641
731	4465	1635
732	4471	1628
733	4477	1622
734	4482	1616
735	4488	1609
736	4493	1603
737	4499	1597
738	4505	1591
739	4510	1584
740	4516	1578
741	4521	1572
742	4527	1565
743	4532	1559
744	4538	1553
745	4543	1547
746	4549	1540
747	4555	1534
748	4560	1528
749	4566	1522
750	4571	1515
751	4577	1509
752	4582	1503
753	4588	1497
754	4594	1490
755	4599	1484
756	4605	1478
757	4610	1472
758	4616	1465
759	4621	1459
760	4627	1453
761	4632	1447
762	4638	1440
763	4644	1434
764	4649	1428
765	4655	1422
766	4660	1415
767	4665	1409
768	4671	1403
769	4676	1396
770	4681	1390
771	4687	1384
772	4692	1378
773	4698	1371
774	4703	1365
775	4708	1359
776	4714	1353
777	4720	1346
778	4725	1340
779	4731	1334
780	4737	1328
781	4742	1322
782	4750	1316
783	4756	1310
784	4762	1304
785	4768	1298
786	4773	1292
787	4779	1285
788	4785	1279
789	4790	1273
790	4796	1267
791	4802	1261
792	4807	1254
793	4812	1248
794	4818	1242
795	4824	1236
796	4830	1230
797	4835	1224
798	4840	1217
799	4846	1211
800	4851	1205
801	4856	1199
802	4862	1192
803	4869	1187
804	4874	1180
805	4880	1174
806	4885	1168
807	4891	1162
808	4896	1156
809	4902	1149
810	4908	1143
811	4913	1137
812	4919	1131
813	4924	1125
814	4930	1119
815	4936	1113
816	4941	1106
817	4947	1100
818	4953	1094
819	4959	1088
820	4965	1082
821	4970	1076
822	4976	1070
823	4981	1064
824	4986	1057
825	4992	1051
826	4997	1045
827	5002	1039
828	5008	1033
829	5013	1026
830	5019	1020
831	5024	1014
832	5029	1008
833	5035	1002
834	5041	996
835	5046	989
836	5052	983
837	5058	977
838	5064	971
839	5069	965
840	5075	959
841	5080	953
842	5086	947
843	5092	941
844	5097	935
845	5103	928
846	5109	922
847	5114	916
848	5120	910
849	5126	904
850	5131	898
851	5137	892
852	5142	886
853	5148	880
854	5154	874
855	5160	868
856	5166	862
857	5171	855
858	5177	849
859	5183	843
860	5188	837
861	5194	831
862	5200	825
863	5205	819
864	5211	813
865	5217	807
866	5222	801
867	5228	795
868	5234	789
869	5239	782
870	5245	776
871	5251	770
872	5256	764
873	5262	758
874	5268	752
875	5274	746
876	5279	740
877	5285	734
878	5291	728
879	5296	722
880	5302	716
881	5308	710
882	5313	704
883	5319	698
884	5324	691
885	5330	685
886	5336	679
887	5341	673
888	5347	667
889	5353	661
890	5358	655
891	5364	649
892	5370	643
893	5376	637
894	5381	631
895	5387	625
896	5392	619
897	5398	613
898	5403	607
899	5408	600
900	5414	594
901	5420	588
902	5425	582
903	5431	576
904	5436	570
905	5442	564
906	5448	558
907	5454	552
908	5459	546
909	5465	540
910	5471	534
911	5477	528
912	5483	522
913	5489	516
914	5494	510
915	5500	504
916	5506	498
917	5511	492
918	5517	486
919	5522	480
920	5528	474
921	5534	468
922	5539	462
923	5545	456
924	5551	450
925	5556	444
926	5562	438
927	5568	432
928	5573	425
929	5579	419
930	5585	413
931	5590	407
932	5596	401
933	5602	395
934	5607	389
935	5613	383
936	5619	377
937	5625	371
938	5630	365
939	5636	359
940	5642	353
941	5647	347
942	5653	341
943	5659	335
944	5664	329
945	5670	323
946	5676	317
947	5681	311
948	5687	305
949	5692	299
950	5698	293
951	5704	287
952	5710	281
953	5715	275
954	5721	269
955	5727	263
956	5732	257
957	5738	251
958	5744	245
959	5749	239
960	5755	233
961	5761	227
962	5766	221
963	5772	215
964	5777	209
965	5783	203
966	5788	197
967	5794	191
968	5799	185
969	5805	179
970	5811	173
971	5816	167
972	5822	161
973	5828	155
974	5833	149
975	5839	143
976	5845	137
977	5850	131
978	5856	125
979	5862	119
980	5868	113
981	5874	107
982	5879	101
983	5885	95
984	5890	89
985	5896	83
986	5902	77
987	5907	71
988	5913	65
989	5918	59
990	5924	53
991	5930	47
992	5936	41
993	5941	35
994	5948	29
995	5953	23
996	5959	17
997	5965	11
998	5971	5
999	5976	0
