iter	Logloss
0	0.6437029362
1	0.6101459919
2	0.5747461118
3	0.5393591995
4	0.5048065953
5	0.4726147769
6	0.4454922873
7	0.4287311424
8	0.404538067
9	0.3833015281
10	0.363406716
11	0.3458340312
12	0.329281932
13	0.3141818729
14	0.3010172896
15	0.2885587666
16	0.2770454801
17	0.267995571
18	0.2585274314
19	0.2520513036
20	0.2432099099
21	0.2385655702
22	0.231666648
23	0.2263026128
24	0.2208474955
25	0.2160436564
26	0.2108928074
27	0.2064987021
28	0.2022471737
29	0.1988732998
30	0.1964696154
31	0.193218561
32	0.1900201331
33	0.1868869659
34	0.1837850827
35	0.1813014187
36	0.1790011558
37	0.1770856423
38	0.1757546536
39	0.1739523865
40	0.1718152787
41	0.1703835211
42	0.1685962313
43	0.1673156289
44	0.1655831789
45	0.1642669591
46	0.1629693935
47	0.1615425402
48	0.1609043697
49	0.1600550429
50	0.1587528804
51	0.1577470149
52	0.1568528254
53	0.1563055507
54	0.155679653
55	0.1548178336
56	0.153957594
57	0.1532795875
58	0.1525113279
59	0.152065741
60	0.1513817575
61	0.1508416599
62	0.1502776482
63	0.1496750389
64	0.1489956269
65	0.1485010053
66	0.1478849163
67	0.1474183798
68	0.1470201961
69	0.1464303234
70	0.1458947605
71	0.1453700473
72	0.1450322645
73	0.1445418838
74	0.1439651412
75	0.1435907365
76	0.1431665364
77	0.1428806482
78	0.1426515446
79	0.1423705938
80	0.1419412919
81	0.1416071978
82	0.1412437527
83	0.140962697
84	0.1406535418
85	0.1402929537
86	0.1400559399
87	0.1397650747
88	0.1393905614
89	0.1390915758
90	0.1388370175
91	0.1384320355
92	0.13818118
93	0.13786574
94	0.1375766738
95	0.137286168
96	0.1369383295
97	0.136720067
98	0.1364592804
99	0.1362384849
100	0.1360556911
101	0.1357968844
102	0.1355427526
103	0.1352526639
104	0.1349647695
105	0.1347293258
106	0.1345217418
107	0.1342690822
108	0.1340659037
109	0.1338219474
110	0.1335742122
111	0.1332713204
112	0.1328868358
113	0.1326523145
114	0.1324712806
115	0.1322765903
116	0.1319921196
117	0.1318226336
118	0.1315942746
119	0.1314453398
120	0.1312053737
121	0.1309939413
122	0.1307767019
123	0.1305242678
124	0.1303002153
125	0.1300288109
126	0.1298142422
127	0.1295984464
128	0.1293917488
129	0.1291803789
130	0.1289917534
131	0.1287394771
132	0.128604643
133	0.128457952
134	0.1282723701
135	0.1281144714
136	0.127949098
137	0.1277962974
138	0.1276217027
139	0.1274202182
140	0.1272233331
141	0.1270408569
142	0.1268716716
143	0.1266488731
144	0.1264985963
145	0.1263232362
146	0.1260393759
147	0.1259072411
148	0.1257225612
149	0.1255562832
150	0.1253961986
151	0.1252306733
152	0.125025982
153	0.1248707615
154	0.1247199925
155	0.1245565383
156	0.1244073552
157	0.1243277273
158	0.1241552938
159	0.1240120569
160	0.1238765708
161	0.1237171074
162	0.1235444967
163	0.1233067373
164	0.1230679024
165	0.1229741204
166	0.1227958287
167	0.1226114142
168	0.1224288088
169	0.122318937
170	0.1221408036
171	0.121922189
172	0.1218284656
173	0.1216371851
174	0.1214437814
175	0.1212810463
176	0.1211359065
177	0.1209415297
178	0.1208149061
179	0.1206131642
180	0.1204949556
181	0.1203564116
182	0.1202672516
183	0.1200360287
184	0.1198811152
185	0.1197989394
186	0.1195948372
187	0.1194781957
188	0.1193566586
189	0.1191662322
190	0.1189570094
191	0.1187606661
192	0.1185941073
193	0.1184036512
194	0.1182043863
195	0.118005049
196	0.1179271099
197	0.1177242046
198	0.1175234403
199	0.1173579252
200	0.1172436651
201	0.1170842211
202	0.1169075454
203	0.1167370519
204	0.1166530217
205	0.1165756467
206	0.1164212921
207	0.1162839034
208	0.1161680394
209	0.1160681715
210	0.1159593863
211	0.1158939697
212	0.1157366966
213	0.115633752
214	0.1155992259
215	0.1155194084
216	0.1153619829
217	0.1152576839
218	0.1151970793
219	0.1150939894
220	0.1149700926
221	0.1148415852
222	0.1146508139
223	0.1144755556
224	0.1143797553
225	0.1141768456
226	0.1140655531
227	0.1139584498
228	0.1138156781
229	0.1136959248
230	0.1135217787
231	0.1133671226
232	0.1132804083
233	0.1131668901
234	0.1129905263
235	0.1129349607
236	0.1127968849
237	0.1126883531
238	0.1125910466
239	0.1124997557
240	0.1123982608
241	0.1123001942
242	0.1121901093
243	0.112094448
244	0.1119257258
245	0.1117440189
246	0.1115647021
247	0.111438706
248	0.1113304978
249	0.1112315233
250	0.1111525157
251	0.1110195538
252	0.1108785025
253	0.1107627507
254	0.1106291242
255	0.1104303673
256	0.1103139559
257	0.1101676828
258	0.1099735916
259	0.109889484
260	0.1097691195
261	0.1096546259
262	0.1094881375
263	0.1093684699
264	0.109257716
265	0.1091728098
266	0.1090623375
267	0.108889749
268	0.1087786298
269	0.1086112592
270	0.1084736616
271	0.1083782141
272	0.1083006606
273	0.1081937285
274	0.1080548006
275	0.1079465918
276	0.1078425486
277	0.1077051835
278	0.1076164342
279	0.1075576217
280	0.1074664388
281	0.1073231262
282	0.1071922186
283	0.1070688107
284	0.1069170712
285	0.106753621
286	0.1066119452
287	0.1064275964
288	0.1063833811
289	0.1062870702
290	0.1061934472
291	0.1060576138
292	0.1059782698
293	0.105828251
294	0.105679767
295	0.1055434818
296	0.1054303489
297	0.1053092151
298	0.1052057397
299	0.1050829837
300	0.104953339
301	0.1048306355
302	0.1047110951
303	0.1046168909
304	0.1044857361
305	0.1044130999
306	0.1042860764
307	0.1041827061
308	0.1041012393
309	0.1039592946
310	0.1038405512
311	0.1037170424
312	0.1036358719
313	0.1034733763
314	0.1033600823
315	0.1032316354
316	0.1030663184
317	0.1029801348
318	0.1028493026
319	0.1027719405
320	0.1027235309
321	0.1025491885
322	0.1024650105
323	0.1023844384
324	0.1022086793
325	0.102059538
326	0.101954126
327	0.1018237813
328	0.1017189903
329	0.1016258963
